model,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_f1_mean,test_roc_auc,test_pr_auc,test_f1_050
HistGradientBoosting,0.7836279958558172,0.0045352778714235955,0.5614174613063574,0.478975285661799,0.7800039702819077,0.5525208673967302,0.4732013520038629
XGBoost,0.7835663660026386,0.006568427213073219,0.5591486457915071,0.4768534713204121,0.7783833631319494,0.5544012574658634,0.4635696821515892
RandomForest,0.7796075498512044,0.004390266107950685,0.5522589369796387,0.5272408528614129,0.7691650361687521,0.5479161502057515,0.527317880794702
LogisticRegression,0.7275487948046286,0.011341244288490869,0.5045186903267354,0.4810549863086651,0.710365032104938,0.49128885076797196,0.4648708692029992
